County Name,FIPS County Code,State FIPS Code,County FIPS Code,County Code Number,Latitude/Longitude,Time Period,Time Period Date Start,Time Period Date End,Count of Maternal Stays with Opioid Use,Type of Count,Rate of Maternal Stays with Opioid Use,Type of Rate,New Georeferenced Column
COMMONWEALTH,42000,42,000,0,"(39.346129, -75.167756)",CY 2016 - CY 2017,01/01/2016,12/31/2017,5469,Number of maternal hospital stays with opioid use,19.6,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.167756 39.346129)
BEDFORD,42009,42,009,5,"(40.0073753643, -78.4911647381)",CY 2016 - CY 2017,01/01/2016,12/31/2017,18,Number of maternal hospital stays with opioid use,20.6,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-78.4911647381 40.0073753643)
BUTLER,42019,42,019,10,"(40.9108318483, -79.9171177889)",CY 2016 - CY 2017,01/01/2016,12/31/2017,108,Number of maternal hospital stays with opioid use,28.8,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.9171177889 40.9108318483)
SOMERSET,42111,42,111,56,"(39.9714629901, -79.0310020611)",CY 2016 - CY 2017,01/01/2016,12/31/2017,30,Number of maternal hospital stays with opioid use,23.1,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.0310020611 39.9714629901)
MCKEAN,42083,42,083,42,"(41.810370736, -78.5712201998)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,7.8,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-78.5712201998 41.810370736)
ELK,42047,42,047,24,"(41.4281941606, -78.6494771322)",CY 2016 - CY 2017,01/01/2016,12/31/2017,47,Number of maternal hospital stays with opioid use,75.8,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-78.6494771322 41.4281941606)
LAWRENCE,42073,42,073,37,"(40.9932503514, -80.3375411446)",CY 2016 - CY 2017,01/01/2016,12/31/2017,63,Number of maternal hospital stays with opioid use,33.1,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-80.3375411446 40.9932503514)
ERIE,42049,42,049,25,"(41.9941378702, -80.0407591036)",CY 2016 - CY 2017,01/01/2016,12/31/2017,107,Number of maternal hospital stays with opioid use,16.7,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-80.0407591036 41.9941378702)
PIKE,42103,42,103,52,"(41.332571995, -75.0327092448)",CY 2016 - CY 2017,01/01/2016,12/31/2017,14,Number of maternal hospital stays with opioid use,21.6,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.0327092448 41.332571995)
CENTRE,42027,42,027,14,"(40.9193135008, -77.8250011212)",CY 2016 - CY 2017,01/01/2016,12/31/2017,23,Number of maternal hospital stays with opioid use,10,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.8250011212 40.9193135008)
CRAWFORD,42039,42,039,20,"(41.6854690692, -80.1132108295)",CY 2016 - CY 2017,01/01/2016,12/31/2017,48,Number of maternal hospital stays with opioid use,26.9,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-80.1132108295 41.6854690692)
MONTGOMERY,42091,42,091,46,"(40.209898739, -75.3725200072)",CY 2016 - CY 2017,01/01/2016,12/31/2017,167,Number of maternal hospital stays with opioid use,9.4,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.3725200072 40.209898739)
SULLIVAN,42113,42,113,57,"(41.4480993958, -76.5147922046)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,,Not Reported due to Low Volume,POINT (-76.5147922046 41.4480993958)
FULTON,42057,42,057,29,"(39.9248751086, -78.1148504535)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,,Not Reported due to Low Volume,POINT (-78.1148504535 39.9248751086)
VENANGO,42121,42,121,61,"(41.4034125863, -79.7628656104)",CY 2016 - CY 2017,01/01/2016,12/31/2017,53,Number of maternal hospital stays with opioid use,51.8,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.7628656104 41.4034125863)
ADAMS,42001,42,001,1,"(39.8720956503, -77.2222427076)",CY 2016 - CY 2017,01/01/2016,12/31/2017,47,Number of maternal hospital stays with opioid use,25.8,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.2222427076 39.8720956503)
BERKS,42011,42,011,6,"(40.4193963513, -75.9307732705)",CY 2016 - CY 2017,01/01/2016,12/31/2017,127,Number of maternal hospital stays with opioid use,12.9,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.9307732705 40.4193963513)
UNION,42119,42,119,60,"(40.9647313096, -77.0641580308)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,2.8,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.0641580308 40.9647313096)
FRANKLIN,42055,42,055,28,"(39.9278619704, -77.7239884483)",CY 2016 - CY 2017,01/01/2016,12/31/2017,54,Number of maternal hospital stays with opioid use,18.3,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.7239884483 39.9278619704)
LEBANON,42075,42,075,38,"(40.3675970024, -76.4618257486)",CY 2016 - CY 2017,01/01/2016,12/31/2017,45,Number of maternal hospital stays with opioid use,14.3,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-76.4618257486 40.3675970024)
CUMBERLAND,42041,42,041,21,"(40.167598388, -77.268662705)",CY 2016 - CY 2017,01/01/2016,12/31/2017,51,Number of maternal hospital stays with opioid use,9.8,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.268662705 40.167598388)
JEFFERSON,42065,42,065,33,"(41.1313909115, -79.0010181419)",CY 2016 - CY 2017,01/01/2016,12/31/2017,16,Number of maternal hospital stays with opioid use,17.4,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.0010181419 41.1313909115)
WESTMORELAND,42129,42,129,65,"(40.3103149985, -79.471341176)",CY 2016 - CY 2017,01/01/2016,12/31/2017,213,Number of maternal hospital stays with opioid use,33.5,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.471341176 40.3103149985)
BUCKS,42017,42,017,9,"(40.335011331, -75.1129124111)",CY 2016 - CY 2017,01/01/2016,12/31/2017,229,Number of maternal hospital stays with opioid use,22.9,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.1129124111 40.335011331)
POTTER,42105,42,105,53,"(41.7442064382, -77.8987922939)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,7.1,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.8987922939 41.7442064382)
CARBON,42025,42,025,13,"(40.9193670081, -75.7110703866)",CY 2016 - CY 2017,01/01/2016,12/31/2017,40,Number of maternal hospital stays with opioid use,33.4,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.7110703866 40.9193670081)
LYCOMING,42081,42,081,41,"(41.3445979226, -77.069424568)",CY 2016 - CY 2017,01/01/2016,12/31/2017,32,Number of maternal hospital stays with opioid use,12.9,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.069424568 41.3445979226)
ALLEGHENY,42003,42,003,2,"(40.4673554298, -79.9861984282)",CY 2016 - CY 2017,01/01/2016,12/31/2017,748,Number of maternal hospital stays with opioid use,27.4,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.9861984282 40.4673554298)
INDIANA,42063,42,063,32,"(40.6529549748, -79.0933349286)",CY 2016 - CY 2017,01/01/2016,12/31/2017,30,Number of maternal hospital stays with opioid use,20.2,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.0933349286 40.6529549748)
JUNIATA,42067,42,067,34,"(40.5343300836, -77.405775001)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,11.7,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.405775001 40.5343300836)
MONROE,42089,42,089,45,"(41.0609178653, -75.3408360302)",CY 2016 - CY 2017,01/01/2016,12/31/2017,64,Number of maternal hospital stays with opioid use,21.5,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.3408360302 41.0609178653)
WAYNE,42127,42,127,64,"(41.6496980525, -75.3051535022)",CY 2016 - CY 2017,01/01/2016,12/31/2017,12,Number of maternal hospital stays with opioid use,16.8,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.3051535022 41.6496980525)
CLEARFIELD,42033,42,033,17,"(41.0004290024, -78.4755834299)",CY 2016 - CY 2017,01/01/2016,12/31/2017,80,Number of maternal hospital stays with opioid use,54,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-78.4755834299 41.0004290024)
DAUPHIN,42043,42,043,22,"(40.4197463597, -76.7796056802)",CY 2016 - CY 2017,01/01/2016,12/31/2017,71,Number of maternal hospital stays with opioid use,9.9,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-76.7796056802 40.4197463597)
MIFFLIN,42087,42,087,44,"(40.6127492804, -77.6200308901)",CY 2016 - CY 2017,01/01/2016,12/31/2017,28,Number of maternal hospital stays with opioid use,32.5,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.6200308901 40.6127492804)
TIOGA,42117,42,117,59,"(41.7733383358, -77.2578807579)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,9.4,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.2578807579 41.7733383358)
FOREST,42053,42,053,27,"(41.5135787577, -79.2378099483)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,,Not Reported due to Low Volume,POINT (-79.2378099483 41.5135787577)
CAMERON,42023,42,023,12,"(41.4388026531, -78.2091693241)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,,Not Reported due to Low Volume,POINT (-78.2091693241 41.4388026531)
SCHUYLKILL,42107,42,107,54,"(40.707512431, -76.223323851)",CY 2016 - CY 2017,01/01/2016,12/31/2017,55,Number of maternal hospital stays with opioid use,19.6,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-76.223323851 40.707512431)
