Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Rate of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Rate,Percent of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Percent,Number of Women with a Delivery and OUD Diagnosis Receiving MAT,Number of Women with a Delivery and OUD Diagnosis Receiving MAT notes,Number of Women with a Delivery and OUD Receiving MAT Description,Number of Women with a Delivery and OUD Diagnosis,Number of Women with a Delivery and OUD Diagnosis notes,Number of Women with a Delivery and OUD Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Column
County,Fayette County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,578.95,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,57.89,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,11,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,19,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,26,26,42,051,31,"(39.919447803, -79.6518963464)"
County,Bucks County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,583.33,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,58.33,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,14,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,24,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,9,09,42,017,35,"(40.335011331, -75.1129124111)"
County,Westmoreland County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,629.63,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,62.96,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,17,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,27,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,65,65,42,129,24,"(40.3103149985, -79.471341176)"
County,Lancaster County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,14,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,36,36,42,071,23,"(40.0459079619, -76.2513876838)"
County,Northampton County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,586.21,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,58.62,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,17,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,29,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,48,48,42,095,59,"(40.754595404, -75.3126372576)"
County,Fayette County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,714.29,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,71.43,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,15,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,21,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,26,26,42,051,31,"(39.919447803, -79.6518963464)"
County,Lancaster County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,842.11,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,84.21,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,16,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,19,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,36,36,42,071,23,"(40.0459079619, -76.2513876838)"
County,Westmoreland County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,615.38,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,61.54,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,16,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,26,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,65,65,42,129,24,"(40.3103149985, -79.471341176)"
County,Clearfield County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,647.06,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,64.71,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,11,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,17,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,17,17,42,033,8,"(41.0004290024, -78.4755834299)"
County,Blair County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,659.57,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,65.96,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,31,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,47,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,7,07,42,013,46,"(40.4855502384, -78.349076871)"
