Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Rate of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure,Type of Rate,Number of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure,Number of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure Notes,Number of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure Description,Total Number of Birth Hospitalizations,Total Number of Birth Hospitalizations Notes,Total Number of Birth Hospitalizations Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude/Longitude
State,Commonwealth,All,<1 month,2016,2016 Q1,1/1/2016-3/31/2016,25.71,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",808,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),31426,,Live births in hospitals,0,00,42,000,"(39.346129, -75.167756)",POINT (-75.167756 39.346129)
County,Chester,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,16.73,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",21,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1255,,Live births in hospitals,15,15,42,029,"(39.9748705566, -75.7562649818)",POINT (-75.7562649818 39.9748705566)
State,Commonwealth,Female,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,22.49,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",347,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),15430,,Live births in hospitals,0,00,42,000,"(39.346129, -75.167756)",POINT (-75.167756 39.346129)
County,Washington,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,26.80,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",13,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),485,,Live births in hospitals,63,63,42,125,"(40.1910966345, -80.2518008276)",POINT (-80.2518008276 40.1910966345)
County,Westmoreland,All,<1 month,2017,2017 Q1,1/1/2017-3/31/2017,41.60,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",27,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),649,,Live births in hospitals,65,65,42,129,"(40.3103149985, -79.471341176)",POINT (-79.471341176 40.3103149985)
County,Schuylkill,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,42.04,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",14,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),333,,Live births in hospitals,54,54,42,107,"(40.707512431, -76.223323851)",POINT (-76.223323851 40.707512431000005)
County,York,All,<1 month,2017,2017 Q3,7/1/2017-9/30/2017,21.54,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",26,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1207,,Live births in hospitals,67,67,42,133,"(39.9219253124, -76.7257605231)",POINT (-76.7257605231 39.9219253124)
County,Carbon,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,37.37,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",21,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),562,,Live births in hospitals,13,13,42,025,"(40.9193670081, -75.7110703866)",POINT (-75.7110703866 40.9193670081)
County,York,All,<1 month,2016,2016 Q1,1/1/2016-3/31/2016,15.69,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",18,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1147,,Live births in hospitals,67,67,42,133,"(39.9219253124, -76.7257605231)",POINT (-76.7257605231 39.9219253124)
County,York,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,18.52,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",21,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1134,,Live births in hospitals,67,67,42,133,"(39.9219253124, -76.7257605231)",POINT (-76.7257605231 39.9219253124)
